,Country Name,Country Code,Entity
0,Arab World,ARB,
1,Caribbean small states,CSS,
2,Central Europe and the Baltics,CEB,
3,Early-demographic dividend,EAR,
4,East Asia & Pacific,EAS,
5,East Asia & Pacific (excluding high income),EAP,
6,East Asia & Pacific (IDA & IBRD countries),TEA,
7,Euro area,EMU,
8,Europe & Central Asia,ECS,
9,Europe & Central Asia (excluding high income),ECA,
10,Europe & Central Asia (IDA & IBRD countries),TEC,
11,European Union,EUU,
12,Fragile and conflict affected situations,FCS,
13,Heavily indebted poor countries (HIPC),HPC,
14,High income,HIC,
15,IBRD only,IBD,
16,IDA & IBRD total,IBT,
17,IDA blend,IDB,
18,IDA only,IDX,
19,IDA total,IDA,
20,Late-demographic dividend,LTE,
21,Latin America & Caribbean,LCN,
22,Latin America & Caribbean (excluding high income),LAC,
23,Latin America & the Caribbean (IDA & IBRD countries),TLA,
24,Least developed countries: UN classification,LDC,
25,Low & middle income,LMY,
26,Low income,LIC,
27,Lower middle income,LMC,
28,Middle East & North Africa,MEA,
29,Middle East & North Africa (excluding high income),MNA,
30,Middle East & North Africa (IDA & IBRD countries),TMN,
31,Middle income,MIC,
32,North America,NAC,
34,OECD members,OED,
35,Other small states,OSS,
36,Pacific island small states,PSS,
37,Post-demographic dividend,PST,
38,Pre-demographic dividend,PRE,
39,Small states,SST,
40,South Asia,SAS,
41,South Asia (IDA & IBRD),TSA,
42,Sub-Saharan Africa,SSF,
43,Sub-Saharan Africa (excluding high income),SSA,
44,Sub-Saharan Africa (IDA & IBRD countries),TSS,
45,Upper middle income,UMC,
46,World,WLD,
47,Afghanistan,AFG,SA
48,Albania,ALB,
49,Algeria,DZA,
51,Andorra,ADO,
52,Angola,AGO,SSA
53,Antigua and Barbuda,ATG,
54,Argentina,ARG,LA
55,Armenia,ARM,
57,Australia,AUS,A
58,Austria,AUT,GE
59,Azerbaijan,AZE,
60,"Bahamas, The",BHS,
61,Bahrain,BHR,
62,Bangladesh,BGD,NA
63,Barbados,BRB,
64,Belarus,BLR,EE
65,Belgium,BEL,GE
66,Belize,BLZ,
67,Benin,BEN,SSA
68,Bermuda,BMU,
69,Bhutan,BTN,SA
70,Bolivia,BOL,LA
71,Bosnia and Herzegovina,BIH,
72,Botswana,BWA,SSA
73,Brazil,BRA,LA
74,British Virgin Islands,VGB,
75,Brunei Darussalam,BRN,
76,Bulgaria,BGR,EE
77,Burkina Faso,BFA,SSA
78,Burundi,BDI,SSA
79,Cabo Verde,CPV,SSA
80,Cambodia,KHM,SEA
81,Cameroon,CMR,SSA
82,Canada,CAN,
84,Central African Republic,CAF,SSA
85,Chad,TCD,SSA
87,Chile,CHL,LA
88,China,CHN,CA
89,Colombia,COL,LA
90,Comoros,COM,SSA
91,"Congo, Dem. Rep.",ZAR,SSA
92,"Congo, Rep.",COG,SSA
93,Costa Rica,CRI,LA
94,Cote d'Ivoire,CIV,SSA
95,Croatia,HRV,
96,Cuba,CUB,LA
97,Curacao,CUW,
98,Cyprus,CYP,ME
99,Czech Republic,CZE,EE
100,Denmark,DNK,NE
101,Djibouti,DJI,
102,Dominica,DMA,
103,Dominican Republic,DOM,LA
104,Ecuador,ECU,LA
105,"Egypt, Arab Rep.",EGY,ME
106,El Salvador,SLV,LA
107,Equatorial Guinea,GNQ,SSA
108,Eritrea,ERI,SSA
109,Estonia,EST,
110,Ethiopia,ETH,SSA
112,Fiji,FJI,
113,Finland,FIN,NE
114,France,FRA,LE
116,Gabon,GAB,SSA
117,"Gambia, The",GMB,SSA
118,Georgia,GEO,
119,Germany,DEU,GE
120,Ghana,GHA,SSA
122,Greece,GRC,
124,Grenada,GRD,
126,Guatemala,GTM,LA
127,Guinea,GIN,SSA
128,Guinea-Bissau,GNB,SSA
129,Guyana,GUY,
130,Haiti,HTI,LA
131,Honduras,HND,LA
132,"Hong Kong SAR, China",HKG,CA
133,Hungary,HUN,EE
134,Iceland,ISL,NE
135,India,IND,SA
136,Indonesia,IDN,SEA
137,"Iran, Islamic Rep.",IRN,ME
138,Iraq,IRQ,ME
139,Ireland,IRL,
141,Israel,ISR,ME
142,Italy,ITA,LE
143,Jamaica,JAM,
144,Japan,JPN,CA
145,Jordan,JOR,ME
146,Kazakhstan,KAZ,
147,Kenya,KEN,SSA
148,Kiribati,KIR,
150,"Korea, Rep.",KOR,CA
152,Kuwait,KWT,
153,Kyrgyz Republic,KGZ,
154,Lao PDR,LAO,SEA
155,Latvia,LVA,
156,Lebanon,LBN,ME
157,Lesotho,LSO,SSA
158,Liberia,LBR,SSA
161,Lithuania,LTU,
162,Luxembourg,LUX,
163,"Macao SAR, China",MAC,
164,"Macedonia, FYR",MKD,
165,Madagascar,MDG,SSA
166,Malawi,MWI,SSA
167,Malaysia,MYS,SEA
168,Maldives,MDV,SA
169,Mali,MLI,SSA
170,Malta,MLT,
172,Mauritania,MRT,SSA
173,Mauritius,MUS,SSA
174,Mexico,MEX,LA
175,"Micronesia, Fed. Sts.",FSM,
176,Moldova,MDA,EE
178,Mongolia,MNG,
179,Montenegro,MNE,
180,Morocco,MAR,
181,Mozambique,MOZ,SSA
182,Myanmar,MMR,SEA
183,Namibia,NAM,SSA
185,Nepal,NPL,SA
186,Netherlands,NLD,GE
188,New Zealand,NZL,A
189,Nicaragua,NIC,LA
190,Niger,NER,SSA
191,Nigeria,NGA,SSA
193,Norway,NOR,NE
194,Oman,OMN,
195,Pakistan,PAK,SA
196,Palau,PLW,
197,Panama,PAN,LA
198,Papua New Guinea,PNG,
199,Paraguay,PRY,LA
200,Peru,PER,LA
201,Philippines,PHL,SEA
202,Poland,POL,EE
203,Portugal,PRT,LE
204,Puerto Rico,PRI,LA
205,Qatar,QAT,
206,Romania,ROM,EE
207,Russian Federation,RUS,EE
208,Rwanda,RWA,SSA
209,Samoa,WSM,
211,Sao Tome and Principe,STP,SSA
212,Saudi Arabia,SAU,ME
213,Senegal,SEN,SSA
214,Serbia,SRB,
215,Seychelles,SYC,SSA
216,Sierra Leone,SLE,SSA
217,Singapore,SGP,CA
219,Slovak Republic,SVK,EE
220,Slovenia,SVN,
221,Solomon Islands,SLB,
222,Somalia,SOM,SSA
223,South Africa,ZAF,SSA
224,South Sudan,SSD,SSA
225,Spain,ESP,LE
226,Sri Lanka,LKA,SA
227,St. Kitts and Nevis,KNA,
228,St. Lucia,LCA,
230,St. Vincent and the Grenadines,VCT,
231,Sudan,SDN,ME
232,Suriname,SUR,
233,Swaziland,SWZ,
234,Sweden,SWE,NE
235,Switzerland,CHE,GE
236,Syrian Arab Republic,SYR,ME
237,Tajikistan,TJK,
238,Tanzania,TZA,SSA
239,Thailand,THA,SEA
240,Timor-Leste,TMP,
241,Togo,TGO,SSA
242,Tonga,TON,
243,Trinidad and Tobago,TTO,
244,Tunisia,TUN,
245,Turkey,TUR,ME
246,Turkmenistan,TKM,
249,Uganda,UGA,SSA
250,Ukraine,UKR,EE
251,United Arab Emirates,ARE,
252,United Kingdom,GBR,A
253,United States,USA,A
254,Uruguay,URY,LA
255,Uzbekistan,UZB,
256,Vanuatu,VUT,
257,"Venezuela, RB",VEN,LA
258,Vietnam,VNM,SEA
260,West Bank and Gaza,WBG,ME
261,"Yemen, Rep.",YEM,ME
262,Zambia,ZMB,SSA
263,Zimbabwe,ZWE,SSA